scenario_id,U_max,U_mean,U_min,U_std,U_at_0,U_trend,U_persistence_high,U_max_gradient,U_integral,U_x_mean,U_y_mean,U_x_max,U_y_max,U_x_std,U_y_std,DU_dominant,DU_spread,Wind_veering,U_vector_magnitude,Onshore_wind_mean,Onshore_wind_max,S_max,S_mean,Hs_mean,Hs_max,Tp_mean,Tp_max,Tp_p90,Tp_std,sinDp_mean,cosDp_mean,Dp_concentration,Tp_max_x_sinDp_mean,Tp_max_x_cosDp_mean,NMmax,NMmean,NMrange,NMslope,Tmax,T_integral,Tslopemax,T_skewness,Tstd
41,15.02,14.594864864864864,14.1,0.2149496687991716,14.69,0.92,0.0,0.1500000000000003,5254.500000000001,-7.908540178861269,12.198345297721056,-5.81806736987516,13.847400192079158,1.0882098872855492,0.7262556450048008,122.95650849398632,0.088596527327087,-19.279999999999973,14.537697058444175,-12.198345297721056,-10.466807510692089,0.2,0.1835135135135135,1.035945945945946,1.11,13.204324324324324,13.35,13.292,0.0776179326082658,-0.9770077842884324,-0.2066245644560626,0.998618005644225,-13.043053920250571,-2.7584379354884363,0.33,0.33,0.0,0.0,1.93,48.585,0.18,-0.6094520444853614,0.5347719215095929
42,28.34,27.532702702702704,25.45,0.7833215785347043,28.3,2.539999999999999,100.0,0.259999999999998,9919.9,-0.7236511931356968,-27.366206526451677,3.803518792697748,-24.919417505326496,2.875619173857216,0.9804052631553478,268.4852668874782,0.1069212164508835,19.53000000000003,27.37577269590272,27.366206526451677,28.333990016917458,0.14,0.1281081081081081,0.8232432432432433,0.89,18.290540540540537,19.83,19.58,0.939513807403814,-0.861247129185628,-0.4860201628218162,0.9889197218176158,-17.078530571751,-9.637779828756615,1.59,1.5900000000000003,0.0,0.0,1.86,44.21500000000001,0.17,-0.5204376801342969,0.5634277593704613
43,18.67,17.935675675675675,16.52,0.5810686359446685,18.26,-2.150000000000002,100.0,0.1499999999999985,6460.250000000001,-16.470839388949653,-6.874555174864528,-12.862006838417464,-5.192303220394786,1.248294356106706,1.3855702343738443,202.65455144352484,0.0990465158993727,11.840000000000003,17.847914696928378,6.874555174864531,10.367216602758065,0.1,0.0832432432432432,0.7056756756756757,0.73,10.450270270270272,11.23,10.894,0.3750782728148416,-0.967954779621992,-0.2503107856656024,0.9997959515889182,-10.870132175154971,-2.810990123024716,0.84,0.84,0.0,0.0,1.88,47.06,0.17,-0.5729645258620261,0.5258960838562498
44,13.09,12.65891891891892,11.68,0.4830241658314932,12.88,1.2800000000000011,0.0,0.1999999999999993,4560.4,5.713085304831085,11.231838549758924,6.693326868926608,11.63444115972429,1.2818309541767563,0.2119175248235286,63.03979234050007,0.0954943225287111,-20.539999999999992,12.601330918126369,-11.231838549758924,-10.829155181294505,0.71,0.5997297297297297,6.283513513513514,7.18,8.900540540540538,10.15,9.694,0.640286869601034,-0.8684381690138807,-0.4936589624330638,0.9989414520334366,-8.814647415490889,-5.010638468695598,1.7,1.7000000000000004,0.0,0.0,1.98,50.620000000000005,0.18,-0.6158234649549178,0.5333902757525191
45,16.27,15.293243243243245,14.12,0.6308298012380377,15.25,2.1500000000000004,21.62162162162162,0.120000000000001,5506.549999999999,-7.222076319813128,13.323468349053565,-3.657186727814745,15.85363949501488,1.5593154946084555,1.4753220346661624,118.4602071233014,0.1347769171378245,-22.31,15.154972623447316,-13.32346834905356,-11.159849890733662,0.84,0.822972972972973,5.64972972972973,5.79,12.664054054054054,13.91,13.73,0.7211831849588207,-0.8877381540740464,-0.4581143204218683,0.9989733533855574,-12.348437723169988,-6.372370197068188,0.81,0.8099999999999998,0.0,0.0,1.93,45.790000000000006,0.1699999999999999,-0.5059324531210909,0.586752337304556
46,15.58,15.226486486486486,14.35,0.3192492563111508,15.42,-1.09,0.0,0.1500000000000003,5484.849999999999,-9.83224782130602,-10.855468960220112,-4.550946628456423,-6.547198671181154,3.150037681237707,2.74057837904959,227.8315602526272,0.2787408606307379,46.41999999999999,14.646306823424098,10.855468960220112,13.722144221764944,0.58,0.5583783783783783,5.132432432432433,5.19,8.810810810810809,9.16,9.098,0.2866052787878694,-0.8238159494328883,-0.5633062458050259,0.9979913051239292,-7.546154096805257,-5.159885211574037,1.64,1.64,0.0,0.0,2.23,54.925,0.19,-0.5550936745233234,0.6389177756426411
47,15.81,15.20405405405405,14.85,0.2285495919862429,15.19,0.7200000000000006,0.0,0.0999999999999996,5471.0,14.398222859030604,-4.728009563221588,14.951098870576056,-2.0427291945481576,0.2558838365518087,1.2194761697384375,341.8211374530458,0.0806947882118512,-16.620000000000005,15.154632820633635,4.728009563221586,6.596876579841588,0.84,0.822972972972973,8.475135135135135,8.69,10.52891891891892,11.14,11.068,0.3599082749796556,-0.9599498557046672,-0.2696314811333127,0.997098220380297,-10.693841392549992,-3.0036946998251044,0.83,0.8299999999999997,0.0,0.0,1.98,49.82,0.18,-0.7163285588631003,0.5606634127364655
48,16.03,14.704594594594592,13.56,0.71941640986399,14.57,-2.4700000000000006,2.702702702702702,0.1300000000000007,5292.749999999999,13.521396556429316,-3.6122814033862496,14.307518453301418,3.8739342620114416,0.5625575220729278,4.533150055210242,345.0425720662224,0.3143794075656496,57.03000000000003,13.995597228181037,3.612281403386248,10.395752400220786,0.84,0.822972972972973,8.475135135135135,8.69,14.226756756756757,14.51,14.48,0.2895574820779445,-0.9809294274026716,-0.1920458069331018,0.9995519663855,-14.233285991612767,-2.786584658599308,1.39,1.39,0.0,0.0,2.58,63.125,0.2299999999999999,-0.5482026011805896,0.750942237441538
49,17.06,16.69351351351351,16.44,0.1990954710035908,16.46,0.5400000000000027,100.0,0.1099999999999994,6009.200000000001,-6.350176456176012,-15.279215726215352,-3.454348545083588,-13.984907294175269,2.005261613515252,0.9553973314783542,247.43179975057876,0.1331112888566991,11.429999999999978,16.54627372651615,15.279215726215352,16.691519059131902,0.84,0.822972972972973,5.64972972972973,5.79,12.321081081081084,12.79,12.674,0.4253887492875816,-0.9838469950705356,-0.1712837959576403,0.99864560704335,-12.583403066952153,-2.19071975029822,0.88,0.8799999999999999,0.0,0.0,1.82,45.495000000000005,0.18,-0.6946796672567157,0.5234996300605038
50,21.21,20.895945945945947,20.41,0.2554747510606686,21.17,-0.0799999999999983,100.0,0.1099999999999994,7527.0,11.356137689216268,-16.542588703661668,17.687365191380696,-10.343945697205411,4.91616590954099,3.1492908470381966,304.4687757452279,0.2848146209837887,-56.81,20.06537077242663,16.542588703661664,20.459472193625817,0.84,0.822972972972973,1.9875675675675677,2.07,18.53702702702703,19.19,18.946,0.3069718260235661,-0.9585160013746796,-0.2813632692237705,0.998958564786144,-18.3939220663801,-5.399361136404155,0.77,0.7699999999999999,0.0,0.0,2.27,56.74999999999999,0.21,-0.6145265388843189,0.6419934485806322
